
198.49.68.2	USA, Florida, Orlando (LOC1 S5)
70.32.42.234	USA, Georgia, Atlanta (LOC1 S1)
174.34.162.146	USA, Georgia, Atlanta (LOC1 S2)
173.234.9.210	USA, Georgia, Atlanta (LOC1 S3)
64.120.53.242	USA, Georgia, Atlanta (LOC1 S4)
173.234.140.50	USA, Georgia, Atlanta (LOC1 S5)
108.62.174.106	USA, Georgia, Atlanta (LOC1 S6)
108.62.174.122	USA, Georgia, Atlanta (LOC1 S7)
108.62.174.18	USA, Georgia, Atlanta (LOC1 S8)
64.129.10.7	USA, Hawaii, Honolulu (LOC1 S1)
64.129.3.130	USA, Hawaii, Honolulu (LOC1 S2)
50.7.63.18	USA, Illinois, Chicago (LOC1 S2)
208.53.158.105	USA, Illinois, Chicago (LOC1 S3)
208.53.158.106	USA, Illinois, Chicago (LOC1 S4)
208.53.158.107	USA, Illinois, Chicago (LOC1 S5)
184.154.4.2	USA, Illinois, Chicago (LOC2 S1)
184.154.128.234	USA, Illinois, Chicago (LOC2 S2)
184.154.49.130	USA, Illinois, Chicago (LOC2 S3)
208.100.63.150	USA, Illinois, Chicago (LOC3 S1)
208.100.63.151	USA, Illinois, Chicago (LOC3 S2)
208.100.63.152	USA, Illinois, Chicago (LOC3 S3)
199.192.204.146	USA, Illinois, Chicago (LOC4 S1)
199.192.204.138	USA, Illinois, Chicago (LOC4 S2)
199.192.204.106	USA, Illinois, Chicago (LOC4 S3)
199.192.206.42	USA, Illinois, Chicago (LOC4 S4)
199.192.206.10	USA, Illinois, Chicago (LOC4 S5)
199.192.206.2	USA, Illinois, Chicago (LOC4 S6)
198.134.105.2	USA, Indiana, South Bend (LOC1 S1)
198.134.105.130	USA, Indiana, South Bend (LOC1 S2)
198.134.106.2	USA, Indiana, South Bend (LOC1 S3)
198.134.106.130	USA, Indiana, South Bend (LOC1 S4)
198.134.107.2	USA, Indiana, South Bend (LOC1 S5)
104.128.21.2	USA, Iowa, Des Moines (LOC1 S1)
104.128.21.130	USA, Iowa, Des Moines (LOC1 S2)
192.200.23.2	USA, Kansas, Wichita (LOC1 S1)
192.200.23.130	USA, Kansas, Wichita (LOC1 S2)
192.171.254.2	USA, Kentucky, Louisville (LOC1 S1)
192.171.254.130	USA, Kentucky, Louisville (LOC1 S2)
192.240.195.2	USA, Louisiana, New Orleans (LOC1 S1)
192.240.195.130	USA, Louisiana, New Orleans (LOC1 S2)
198.74.228.66	USA, Maryland, Baltimore (LOC1 S1)
74.112.200.115	USA, Maryland, Baltimore (LOC1 S2)
74.112.207.139	USA, Maryland, Baltimore (LOC1 S3)
107.181.66.2	USA, Massachusetts, Boston (LOC1 S1)
107.181.66.130	USA, Massachusetts, Boston (LOC1 S2)
167.160.108.2	USA, Massachusetts, Boston (LOC1 S3)
167.160.108.128	USA, Massachusetts, Boston (LOC1 S4)
199.102.71.3	USA, Michigan, Troy (LOC1 S1)
199.102.71.61	USA, Michigan, Troy (LOC1 S2)
199.102.71.131	USA, Michigan, Troy (LOC1 S3)
199.16.189.67	USA, Michigan, Troy (LOC1 S4)
199.16.191.67	USA, Michigan, Troy (LOC1 S5)
107.190.165.2	USA, Minnesota, Saint Paul (LOC1 S1)
107.190.165.130	USA, Minnesota, Saint Paul (LOC1 S2)
63.141.239.18	USA, Missouri, Kansas City (LOC1 S1)
173.208.196.2	USA, Missouri, Kansas City (LOC1 S2)
173.208.197.2	USA, Missouri, Kansas City (LOC1 S3)
63.141.237.130	USA, Missouri, Kansas City (LOC1 S4)
63.141.237.2	USA, Missouri, Kansas City (LOC1 S5)
63.141.230.2	USA, Missouri, Kansas City (LOC1 S6)
209.239.123.68	USA, Missouri, St. Louis (LOC1 S1)
209.239.123.69	USA, Missouri, St. Louis (LOC1 S2)
209.239.121.98	USA, Missouri, St. Louis (LOC1 S3)
107.190.164.2	USA, Montana, Billings (LOC1 S1)
107.190.164.130	USA, Montana, Billings (LOC1 S2)
76.164.237.82	USA, Nevada, Las Vegas (LOC1 S1)
72.46.130.34	USA, Nevada, Las Vegas (LOC1 S2)
72.46.129.194	USA, Nevada, Las Vegas (LOC1 S3)
69.72.252.122	USA, New Jersey, Clifton (LOC1 S1)
50.60.128.50	USA, New Jersey, Clifton (LOC1 S10)
50.60.128.58	USA, New Jersey, Clifton (LOC1 S11)
65.98.97.170	USA, New Jersey, Clifton (LOC1 S2)
65.98.17.98	USA, New Jersey, Clifton (LOC1 S3)
65.98.62.154	USA, New Jersey, Clifton (LOC1 S4)
65.98.56.202	USA, New Jersey, Clifton (LOC1 S5)
65.98.56.210	USA, New Jersey, Clifton (LOC1 S6)
50.60.128.26	USA, New Jersey, Clifton (LOC1 S7)
50.60.128.34	USA, New Jersey, Clifton (LOC1 S8)
50.60.128.42	USA, New Jersey, Clifton (LOC1 S9)
216.155.152.132	USA, New Jersey, Newark (LOC1 S1)
108.61.128.3	USA, New Jersey, Newark (LOC1 S10)
208.167.239.132	USA, New Jersey, Newark (LOC1 S2)
208.167.231.132	USA, New Jersey, Newark (LOC1 S3)
173.199.127.3	USA, New Jersey, Newark (LOC1 S4)
173.199.122.3	USA, New Jersey, Newark (LOC1 S5)
64.237.50.3	USA, New Jersey, Newark (LOC1 S6)
66.55.132.131	USA, New Jersey, Newark (LOC1 S7)
208.167.255.3	USA, New Jersey, Newark (LOC1 S8)
208.167.255.131	USA, New Jersey, Newark (LOC1 S9)
216.31.10.130	USA, New Mexico, Albuquerque
67.231.254.2	USA, New York, Albany (LOC1 S1)
67.231.244.90	USA, New York, Albany (LOC1 S10)
209.240.98.130	USA, New York, Albany (LOC1 S11)
67.231.244.98	USA, New York, Albany (LOC1 S12)
67.231.251.66	USA, New York, Albany (LOC1 S13)
67.231.251.98	USA, New York, Albany (LOC1 S14)
173.233.78.194	USA, New York, Albany (LOC1 S2)
173.233.84.130	USA, New York, Albany (LOC1 S3)
173.198.240.98	USA, New York, Albany (LOC1 S4)
209.240.97.2	USA, New York, Albany (LOC1 S5)
209.240.97.130	USA, New York, Albany (LOC1 S6)
209.240.98.2	USA, New York, Albany (LOC1 S7)
173.233.65.162	USA, New York, Albany (LOC1 S8)
208.85.5.82	USA, New York, Albany (LOC1 S9)
192.157.56.138	USA, New York, Buffalo (LOC1 S1)
192.157.56.146	USA, New York, Buffalo (LOC1 S2)
192.157.56.178	USA, New York, Buffalo (LOC1 S3)
23.229.5.122	USA, New York, Buffalo (LOC1 S4)
23.229.5.114	USA, New York, Buffalo (LOC1 S5)
23.229.5.106	USA, New York, Buffalo (LOC1 S6)
174.34.168.74	USA, New York, Manhattan (LOC1 S1)
108.62.139.122	USA, New York, Manhattan (LOC1 S10)
108.62.138.242	USA, New York, Manhattan (LOC1 S11)
173.208.45.194	USA, New York, Manhattan (LOC1 S12)
173.208.45.170	USA, New York, Manhattan (LOC1 S13)
64.120.46.218	USA, New York, Manhattan (LOC1 S14)
173.208.45.234	USA, New York, Manhattan (LOC1 S15)
64.120.28.26	USA, New York, Manhattan (LOC1 S2)
173.234.233.226	USA, New York, Manhattan (LOC1 S3)
173.208.45.130	USA, New York, Manhattan (LOC1 S4)
173.234.157.210	USA, New York, Manhattan (LOC1 S5)
173.234.157.218	USA, New York, Manhattan (LOC1 S6)
64.120.46.242	USA, New York, Manhattan (LOC1 S7)
173.234.157.186	USA, New York, Manhattan (LOC1 S8)
64.120.44.162	USA, New York, Manhattan (LOC1 S9)
64.187.230.2	USA, North Carolina, Asheville (LOC1 S1)
64.187.231.130	USA, North Carolina, Asheville (LOC1 S2)
64.187.231.2	USA, North Carolina, Asheville (LOC1 S3)
64.187.230.130	USA, North Carolina, Asheville (LOC1 S4)
199.192.204.130	USA, North Carolina, Asheville (LOC1 S5)
199.192.206.26	USA, North Carolina, Asheville (LOC1 S6)
198.50.28.210	USA, North Carolina, Asheville (LOC1 S7)
199.114.222.2	USA, Ohio, Columbus (LOC1 S1)
199.114.222.3	USA, Ohio, Columbus (LOC1 S2)
199.114.222.4	USA, Ohio, Columbus (LOC1 S3)
199.114.222.5	USA, Ohio, Columbus (LOC1 S4)
199.114.222.6	USA, Ohio, Columbus (LOC1 S5)
209.54.35.2	USA, Oklahoma, Oklahoma City (LOC1 S1)
209.54.36.2	USA, Oklahoma, Oklahoma City (LOC1 S2)
209.54.37.2	USA, Oklahoma, Oklahoma City (LOC1 S3)
209.54.38.2	USA, Oklahoma, Oklahoma City (LOC1 S4)
209.54.40.2	USA, Oklahoma, Oklahoma City (LOC1 S5)
174.140.161.2	USA, Oregon, Portland (LOC1 S1)
69.163.36.178	USA, Oregon, Portland (LOC1 S2)
173.242.116.200	USA, Pennsylvania, Scranton (LOC1 S1)
167.160.98.130	USA, South Carolina, Columbia (LOC1 S1)
167.160.99.2	USA, South Carolina, Columbia (LOC1 S2)
107.181.79.2	USA, Tennessee, Nashville (LOC1 S1)
107.181.79.130	USA, Tennessee, Nashville (LOC1 S2)
23.247.146.11	USA, Texas, Austin
216.245.222.2	USA, Texas, Dallas (LOC1 S1)
74.63.242.130	USA, Texas, Dallas (LOC1 S2)
64.31.35.2	USA, Texas, Dallas (LOC1 S3)
64.31.33.2	USA, Texas, Dallas (LOC1 S4)
64.31.34.2	USA, Texas, Dallas (LOC1 S5)
174.36.55.87	USA, Texas, Dallas (LOC2 S1)
50.97.75.50	USA, Texas, Dallas (LOC2 S2)
50.97.75.51	USA, Texas, Dallas (LOC2 S3)
50.97.75.52	USA, Texas, Dallas (LOC2 S4)
174.34.178.146	USA, Texas, Dallas (LOC3 S1)
174.34.178.154	USA, Texas, Dallas (LOC3 S2)
64.120.76.106	USA, Texas, Dallas (LOC3 S3)
173.208.123.154	USA, Texas, Dallas (LOC3 S4)
66.187.68.130	USA, Texas, Houston (LOC1 S1)
66.187.74.2	USA, Texas, Houston (LOC1 S10)
66.187.64.2	USA, Texas, Houston (LOC1 S12)
66.187.66.130	USA, Texas, Houston (LOC1 S2)
66.187.66.2	USA, Texas, Houston (LOC1 S3)
66.187.67.130	USA, Texas, Houston (LOC1 S5)
66.187.68.2	USA, Texas, Houston (LOC1 S6)
66.187.64.130	USA, Texas, Houston (LOC1 S7)
66.187.73.2	USA, Texas, Houston (LOC1 S8)
66.187.73.130	USA, Texas, Houston (LOC1 S9)
23.247.146.12	USA, Texas, Round Rock
192.184.0.2	USA, Utah, Salt Lake City (LOC1 S1)
192.184.0.130	USA, Utah, Salt Lake City (LOC1 S2)
192.184.1.2	USA, Utah, Salt Lake City (LOC1 S3)
192.184.1.130	USA, Utah, Salt Lake City (LOC1 S4)
192.184.2.2	USA, Utah, Salt Lake City (LOC1 S5)
198.98.182.164	USA, Virginia, Ashburn (LOC1 S1)
198.98.182.165	USA, Virginia, Ashburn (LOC1 S2)
199.58.160.154	USA, Virginia, Ashburn (LOC1 S3)
199.58.160.155	USA, Virginia, Ashburn (LOC1 S4)
199.58.160.156	USA, Virginia, Ashburn (LOC1 S5)
173.192.223.69	USA, Washington DC (LOC1 S1)
50.22.222.101	USA, Washington DC (LOC1 S2)
50.22.222.98	USA, Washington DC (LOC1 S3)
50.22.222.99	USA, Washington DC (LOC1 S4)
50.22.222.100	USA, Washington DC (LOC1 S5)
50.22.222.103	USA, Washington DC (LOC1 S6)
50.22.222.102	USA, Washington DC (LOC1 S7)
50.22.222.104	USA, Washington DC (LOC1 S8)
173.208.32.98	USA, Washington, Seattle (LOC1 S1)
216.6.236.34	USA, Washington, Seattle (LOC1 S10)
108.62.61.26	USA, Washington, Seattle (LOC1 S11)
216.6.228.42	USA, Washington, Seattle (LOC1 S2)
173.208.32.66	USA, Washington, Seattle (LOC1 S3)
173.208.32.74	USA, Washington, Seattle (LOC1 S4)
208.43.175.43	USA, Washington, Seattle (LOC1 S5)
70.32.34.90	USA, Washington, Seattle (LOC1 S6)
108.62.62.18	USA, Washington, Seattle (LOC1 S7)
173.208.33.66	USA, Washington, Seattle (LOC1 S8)
23.19.35.2	USA, Washington, Seattle (LOC1 S9)
204.15.111.2	USA, Wisconsin, Madison (LOC1 S1)
204.15.111.130	USA, Wisconsin, Madison (LOC1 S2)
204.15.110.2	USA, Wisconsin, Madison (LOC1 S3)
204.15.110.130	USA, Wisconsin, Madison (LOC1 S4)
188.65.76.130	Austria, Carinthia, Klagenfurt
185.2.179.132	Austria, Vienna (LOC1 S1)
188.172.194.132	Austria, Vienna (LOC1 S2)
45.59.135.2	Azerbaijan, Qusar
104.224.55.2	Bahamas, Freeport
155.254.215.2	Bahrain, Manama
155.254.211.2	Bangladesh, Dhaka
104.224.14.2	Barbados, Worthing
191.101.67.129	Belarus, Minsk
185.35.164.123	Belgium, Brussels (LOC1 S1)
185.35.164.251	Belgium, Brussels (LOC1 S2)
104.224.30.2	Belize, Belize City
104.143.31.2	Benin, Cotonou
104.224.23.2	Bermuda, Hamilton
104.224.19.2	Bolivia, Santa Cruz
104.167.236.2	Bosnia, Sarajevo
104.143.27.2	Botswana, Gaborone
186.227.192.21	Brasil, Joao Pessoa
181.41.198.213	Brasil, Sao Paulo
104.224.37.3	British Virgin Islands, Tortola
104.166.119.2	Brunei, Jerudong
195.88.74.142	Bulgaria, Sofia
104.143.26.2	Burkina Faso, Ouagadougou
154.70.152.218	Cameroon, Yaounde
162.213.159.132	Canada, British Columbia, Vancouver (LOC1 S1)
162.213.159.133	Canada, British Columbia, Vancouver (LOC1 S2)
162.213.159.134	Canada, British Columbia, Vancouver (LOC1 S3)
162.213.159.135	Canada, British Columbia, Vancouver (LOC1 S4)
162.213.159.136	Canada, British Columbia, Vancouver (LOC1 S5)
184.75.217.2	Canada, Ontario, Toronto (LOC1 S1)
